grid,camera,grid_camera,grid_name,grid_abbr,plot,lon_x,lat_y,lon_x_utme,lat_y_utmn,compass_bearing,camera_height,altitude,date_setup,canopy,veg_type,region,svm_lifeform_forest,svm_map_class,svm_a,svm_lifeform,svm_abbr,svm_rel_cov_s,svm_rel_cov_h,svm_cover,svm_tree_ht_mn,svm_tree_ht_mx,svm_tree_ht_sd,svm_hdw_cov_lo,svm_hdw_cov_hi,svm_con_cov_lo,svm_con_cov_hi,svm_source,svm_rel_cov,burn_kinc,burn_tubb,camera_dir,c1_dir,c2_dir,c3_dir,h1_dir,h2_dir,h3_dir,declination,location_desc,comments
M,A1,M_A1,Modini,mmp,N/A,-122.7661518,38.7375286,520323.9354,4287676.46,,18,627,5/25/2013,semi-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,A2,M_A2,Modini,mmp,N/A,-122.7578594,38.73764385,521044.6078,4287691.122,,18,684,5/26/2013,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B1,M_B1,Modini,mmp,N/A,-122.7668091,38.72846089,520269.3703,4286670.105,,14,0,,semi-open/mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"original, superceded by B2 below because this is on rebizzo property"
M,B2,M_B2,Modini,mmp,N/A,-122.7577206,38.72771893,521059.5779,4286589.823,,20,723,5/26/2013,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B3,M_B3,Modini,mmp,N/A,-122.7484524,38.72739748,521865.294,4286556.325,290,26,687,5/25/2013,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B4,M_B4,Modini,mmp,N/A,-122.7392173,38.72830641,522667.7515,4286659.431,,18,732,5/25/2013,scrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B5,M_B5,Modini,mmp,N/A,-122.7304572,38.72761189,523429.425,4286584.567,,18,855,5/25/2013,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C1,M_C1,Modini,mmp,N/A,-122.7666182,38.71873328,520288.7177,4285590.713,,19,400,5/26/2013,semi-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C2,M_C2,Modini,mmp,N/A,-122.758438,38.71896042,520999.7819,4285617.761,,21,523,5/26/2013,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C3,M_C3,Modini,mmp,N/A,-122.7487721,38.71913929,521840.02,4285639.87,,12,352,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C4,M_C4,Modini,mmp,N/A,-122.7398803,38.71904852,522613.0389,4285631.955,,18,513,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C6,M_C6,Modini,mmp,N/A,-122.7218732,38.7190688,524178.4568,4285638.805,SSE (270),18,651,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,D1,M_D1,Modini,mmp,N/A,-122.765837,38.70938863,520359.28,4284553.949,,24,271,5/26/2013,semi-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,D2,M_D2,Modini,mmp,N/A,-122.7576177,38.71015423,521073.6824,4284640.763,,19,380,5/25/2013,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
