binomial,spp_cn,diet_type,is_special_species,is_wms,is_1kg,is_terr,is_wms_terr_1kg,size,taxa_level,class,order,family,common,spp_abbr
Bos taurus,Cow,herbivore,FALSE,FALSE,TRUE,TRUE,FALSE,L,species,Mammalia,Artiodactyla,Bovidae,Domestic cow,bos_tau
Equus caballus,Horse,herbivore,FALSE,FALSE,TRUE,TRUE,FALSE,L,species,Mammalia,Perissodactyla,Equidae,Domestic horse,equ_cab
Homo sapiens,Human,NA,FALSE,FALSE,TRUE,TRUE,FALSE,L,species,Mammalia,Primates,Hominidae,"Human, non-staff",hom_sap
Puma concolor,Puma,carnivore,TRUE,TRUE,TRUE,TRUE,TRUE,L,species,Mammalia,Carnivora,Felidae,Puma,pum_con
Odocoileus hemionus,Deer,herbivore,FALSE,TRUE,TRUE,TRUE,TRUE,L,species,Mammalia,Cetartiodactyla,Cervidae,Mule deer,odo_hem
Ursus americanus,Bear,omnivore,TRUE,TRUE,TRUE,TRUE,TRUE,L,species,Mammalia,Carnivora,Ursidae,American black bear,urs_ame
Sus scrofa,Boar,omnivore,FALSE,TRUE,TRUE,TRUE,TRUE,L,species,Mammalia,Cetartiodactyla,Suidae,Wild boar,sus_scr
Spilogale gracilis,SpottedSkunk,omnivore,TRUE,TRUE,FALSE,TRUE,FALSE,S,species,Mammalia,Carnivora,Mephitidae,Western spotted skunk,spi_gra
Felis catus,Cat,carnivore,FALSE,FALSE,TRUE,TRUE,FALSE,M,species,Mammalia,Carnivora,Felidae,Domestic cat,fel_cat
Canis familiaris,Dog,omnivore,FALSE,FALSE,TRUE,TRUE,FALSE,M,species,Mammalia,Carnivora,Canidae,Domestic dog,can_fam
Taxidea taxus,Badger,carnivore,TRUE,TRUE,TRUE,TRUE,TRUE,M,species,Mammalia,Carnivora,Mustelidae,American badger,tax_tax
Lontra canadensis,Otter,carnivore,TRUE,TRUE,TRUE,FALSE,FALSE,M,species,Mammalia,Carnivora,Mustelidae,North american otter,lon_can
Canis latrans,Coyote,carnivore,FALSE,TRUE,TRUE,TRUE,TRUE,M,species,Mammalia,Carnivora,Canidae,Coyote,can_lat
Lynx rufus,Bobcat,carnivore,FALSE,TRUE,TRUE,TRUE,TRUE,M,species,Mammalia,Carnivora,Felidae,Bobcat,lyn_ruf
Erethizon dorsatum,Porcupine,herbivore,TRUE,TRUE,TRUE,TRUE,TRUE,M,species,Mammalia,Rodentia,Erethizontidae,North american porcupine,ere_dor
Lepus californicus,Jackrabbit,herbivore,FALSE,TRUE,TRUE,TRUE,TRUE,M,species,Mammalia,Lagomorpha,Leporidae,Black-tailed jackrabbit,lep_cal
Urocyon cinereoargenteus,GrayFox,omnivore,FALSE,TRUE,TRUE,TRUE,TRUE,M,species,Mammalia,Carnivora,Canidae,Gray fox,uro_cin
Mephitis mephitis,StripedSkunk,omnivore,FALSE,TRUE,TRUE,TRUE,TRUE,M,species,Mammalia,Carnivora,Mephitidae,Striped skunk,mep_mep
Didelphis virginiana,Opossum,omnivore,FALSE,TRUE,TRUE,TRUE,TRUE,M,species,Mammalia,Didelphimorphia,Didelphidae,Virginia opossum,did_vir
Procyon lotor,Raccoon,omnivore,FALSE,TRUE,TRUE,TRUE,TRUE,M,species,Mammalia,Carnivora,Procyonidae,Northern raccoon,pro_lot
Mammal species,Mammal,NA,FALSE,FALSE,NA,NA,FALSE,NA,class,Mammalia,NA,NA,Mammal,spp_mam
Unidentifiable,Unidentifiable,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,Unidentifiable,spp_uni
Bird species,Bird,NA,FALSE,FALSE,NA,NA,FALSE,S,class,Aves,NA,NA,Bird species,spp_aves
Reptile species,Reptile,NA,FALSE,FALSE,NA,NA,FALSE,S,class,Reptilia,NA,NA,Reptile species,spp_rep
Rodent species,Rodent,NA,FALSE,FALSE,NA,NA,FALSE,S,order,Mammalia,Rodentia,NA,Rodent,spp_rod
Bat species,Bat,NA,FALSE,FALSE,NA,FALSE,FALSE,S,class,Mammalia,Chiroptera,NA,Bat species,spp_chi
Insect species,Insect,NA,FALSE,FALSE,FALSE,NA,FALSE,S,class,Insecta,NA,NA,Insect species,spp_ins
Sylvilagus bachmani,Rabbit,herbivore,FALSE,TRUE,FALSE,TRUE,FALSE,S,species,Mammalia,Lagomorpha,Leporidae,Brush rabbit,syl_bac
Neotoma fuscipes,Woodrat,herbivore,FALSE,TRUE,FALSE,TRUE,FALSE,S,species,Mammalia,Rodentia,Cricetidae,Dusky-footed woodrat,neo_fus
Sciurus griseus,Squirrel,herbivore,FALSE,TRUE,FALSE,FALSE,FALSE,S,species,Mammalia,Rodentia,Sciuridae,Western gray squirrel,sci_gri
Bassariscus astutus,Ringtail,omnivore,TRUE,TRUE,TRUE,FALSE,FALSE,M,species,Mammalia,Carnivora,"	Procyonidae",Ringtail,bas_ast
