sheet,column_name,column_width,column_order,column_index,column_format,hide_blank,alignment,hide_qc,hide_clean
images,image_id,8,1,A,character,FALSE,left,FALSE,FALSE
images,date,7.75,2,B,date,FALSE,right,FALSE,FALSE
images,time,7.75,3,C,time,FALSE,right,FALSE,FALSE
images,photo_type,10.25,4,D,character,FALSE,right,FALSE,FALSE
images,binomial_1,20.75,5,E,character,FALSE,right,FALSE,FALSE
images,count_1,7,6,F,numeric,FALSE,right,FALSE,FALSE
images,comments,12,7,G,character,FALSE,right,FALSE,FALSE
images,catalog_by,9.5,8,H,character,FALSE,right,TRUE,FALSE
images,review,6,9,I,character,FALSE,right,FALSE,FALSE
images,good,6,10,J,character,FALSE,right,TRUE,FALSE
images,error,6,11,K,character,FALSE,right,FALSE,FALSE
images,qc_by,16,12,L,character,TRUE,right,FALSE,FALSE
images,qc_certainty,10,13,M,character,TRUE,right,FALSE,FALSE
images,binomial_2,20.75,14,N,character,TRUE,right,TRUE,FALSE
images,count_2,7,15,O,numeric,TRUE,right,TRUE,FALSE
images,binomial_3,20.75,16,P,character,TRUE,right,TRUE,FALSE
images,count_3,7,17,Q,numeric,TRUE,right,TRUE,FALSE
images,id,12,18,R,character,TRUE,right,TRUE,FALSE
images,image_n,7,19,S,character,TRUE,right,TRUE,TRUE
images,image_file,80,20,T,character,TRUE,right,TRUE,TRUE
images,date_time,18,21,U,datetime,TRUE,right,TRUE,TRUE
metadata,column_name,13,1,A,character,FALSE,right,FALSE,FALSE
metadata,description,107,2,B,character,FALSE,right,FALSE,FALSE
metadata,field_type,9,3,C,character,FALSE,right,FALSE,FALSE
metadata,field_format,85,4,D,character,FALSE,right,FALSE,FALSE
metadata,example,74,5,E,character,FALSE,right,FALSE,FALSE
